dance,v,dance,,
come,v,come,came,come
wash,v,wash,,
do,v,do,did,done
leave,v,leave,left,
sick,adj,sick,,
eat,v,eat,ate,eaten
bring,v,bring,brought,
die,v,die,,
arrive,v,arrive,,
ask,v,ask,,
think,v,think,thought,
buy,v,buy,bought,
sell,v,sell,sold,
stay,v,stay,,
good,adj,good,,
bad,adj,bad,,
love,v,love,,
happy,adj,happy,,
remember,v,remember,,
angry,adj,angry,,
write,v,write,wrote,written
strong,adj,strong,,
play,v,play,,
cry,v,cry,cried,
bite,v,bite,bit,bitten
hear,v,hear,heard,
understand,v,understand,understood,
drink,v,drink,drank,drunk
deceive,v,deceive,,
see,v,see,saw,seen
fear,v,fear,,
make,v,make,made,
give,v,give,gave,given
find,v,find,found,
kill,v,kill,,
cook,v,cook,,
learn,v,learn,,
go,v,go,went,gone
play,v,play,,
tall,adj,tall,,
take,v,take,took,taken
run,v,run,ran,run
open,v,open,,
read,v,read,read,
white,adj,white,,
cold,adj,cold,,
